fifa_rank,team,team_fifa,fifa_points
172,Andorra,Andorra,946.43
173,Maldives,Maldives,943.92
174,Chinese Taipei,Chinese Taipei,923.78
175,Cambodia,Cambodia,922.32
176,Montserrat,Montserrat,916.75
177,Nepal,Nepal,914.54
178,Mauritius,Mauritius,911.49
179,Barbados,Barbados,909.89
180,Belize,Belize,907.00
181,Bangladesh,Bangladesh,902.93
182,Dominica,Dominica,897.69
183,Chad,Chad,896.85
184,Eritrea,Eritrea,887.06
185,Laos,Laos,885.03
186,Cook Islands,Cook Islands,877.53
187,Sri Lanka,Sri Lanka,876.86
188,Samoa,Samoa,876.41
189,Aruba,Aruba,875.61
190,Mongolia,Mongolia,874.47
191,American Samoa,American Samoa,871.61
192,Bhutan,Bhutan,870.81
193,Macau,Macau,858.03
194,Brunei,Brunei,857.73
195,Sao Tome and Principe,São Tomé and Príncipe,855.44
196,Djibouti,Djibouti,853.58
197,Cayman Islands,Cayman Islands,850.06
198,Pakistan,Pakistan,840.28
199,Somalia,Somalia,839.17
200,Tonga,Tonga,835.64
201,Timor-Leste,Timor-Leste,831.00
202,Gibraltar,Gibraltar,820.26
203,Guam,Guam,819.54
204,Seychelles,Seychelles,804.16
205,Turks and Caicos Islands,Turks and Caicos Islands,803.98
206,Liechtenstein,Liechtenstein,797.70
207,Bahamas,Bahamas,786.82
208,United States Virgin Islands,US Virgin Islands,779.76
209,British Virgin Islands,British Virgin Islands,777.41
210,Anguilla,Anguilla,760.25
211,San Marino,San Marino,721.20
